"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181029_184548",7752,4.8153,"SQMI","Squalus hawaiiensis","Green eye shark",NA,"non-target","00000367",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_192307",15272,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000368",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_193330",15636,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000369",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",3501,0.0361,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000370",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",3622,0.2042,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000371",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",3921,0.6194,"PRFI","Pristipomoides filamentosus","Opakapaka",3,"MaxN","00000372",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",3958,0.6708,"APVI","Aprion virescens","Green jobfish",NA,"non-target","00000373",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",4006,0.7375,"PRFI","Pristipomoides filamentosus","Opakapaka",4,"MaxN","00000374",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",4055,0.8056,"CAIG","Caranx ignobilis","Giant trevally",NA,"non-target","00000375",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_194736",8302,6.7042,"CASP","Carcharhinus sp.","Shark sp.",NA,"non-target","00000376",NA,NA,2019-08-16 16:01:11,"BFISH"
"BFISH_2018_F","SE1806","20181029_194736",8473,6.9417,"APFU","Aphareus furca","Small toothed jobfish",NA,"non-target","00000377",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_200044",6413,3.1153,"PRFI","Pristipomoides filamentosus","Opakapaka",5,"MaxN","00000378",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_201704",7254,4.7403,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000379",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_201704",10635,9.4361,"SHAR","Shark","Requiem shark sp.",NA,"non-target","00000380",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_203126",9952,8.3792,"SHAR","Shark","Requiem shark sp.",NA,"non-target","00000381",NA,NA,NA,NA
