"SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","SPECIES_TYPE_CD","A","B","GCF"
"COJA","Cookeolus japonicus","Hawaiian big-eye","OTH",NA,NA,NA
"COJA","Cookeolus japonicus","Hawaiian big-eye","OTH",NA,NA,NA
"COOL","Conger oligoporus","Conger eel","OTH",NA,NA,NA
"CORO","Fistulariidae sp.","Cornetfish sp.","OTH",NA,NA,NA
"DAMS","Chromis sp.","Damselfish sp.","OTH",NA,NA,NA
"DARK","too dark to annotate","dark",NA,NA,NA,NA
"DASY","Dasyatidae sp.","Stingray sp.","OTH",NA,NA,NA
"DASY","Dasyatis sp.","Stingray sp.","OTH",NA,NA,NA
"DASY","Stingray","Stingray sp.","OTH",NA,NA,NA
"DEMA","Decapterus macarellus","Mackerel scad","OTH",NA,NA,NA
"DEMU","Decapterus muroadsi","Amberstripe scad","OTH",NA,NA,NA
"DESP","Decapterus sp.","Mackerel scad sp.","OTH",NA,NA,NA
"DESP","Decapterus sp.","Mackerel scad sp.","OTH",NA,NA,NA
"EAGL","Myliobatid sp.","Eagle ray sp.","OTH",NA,NA,NA
"EESP","Anguilliformes sp.","Eel sp. ","OTH",NA,NA,NA
"EESP","Anguilliformes sp.","Eel sp. ","OTH",NA,NA,NA
"ELBI","Elagatis bipinnulata","Rainbow runner","OTH",NA,NA,NA
"EMSP","Emmelichthyid sp.","Rover sp.","OTB",NA,NA,NA
"ERSC","Erythrocles scintillans","Golden rover","OTB",NA,NA,NA
"ERSC","Erythrocles scintillans","Golden rover","OTB",NA,NA,NA
"ETCA","Etelis carbunculus","Ehu","DPS",1.551e-05,3.026,0.6171
"ETCO","Etelis coruscans","Onaga","DPS",6.005e-05,2.673,0.3947
"EUAF","Euthynnus affinis","Kawakawa","OTH",NA,NA,NA
"EUIL","Eumegistus illustris","Monchong","OTH",NA,NA,NA
"FISH","Teleost sp.","Bony fish sp.","OTH",NA,NA,NA
"FISH","Teleost","Bony fish sp.","OTH",NA,NA,NA
"FOLO","Forcipiger longirostris","Longnose butterflyfish","OTH",NA,NA,NA
"GACU","Galeocerdo cuvier","Tiger shark","SHK",NA,NA,NA
"GEPE","Genicanthus personatus","Masked Angelfish","OTH",NA,NA,NA
"GOAT","Mullid sp.","Goatfish sp.","OTH",NA,NA,NA
"GOAT","Mullid","Goatfish sp.","OTH",NA,NA,NA
"GROU","Serranid sp.","Grouper","OTH",NA,NA,NA
"GYBE","Gymnothorax berndti","Y-patterned moray","OTH",NA,NA,NA
"GYNU","Gymnothorax nuttingi","Nutting's moray","OTH",NA,NA,NA
"GYSP","Gymnothorax sp.","Moray sp.","OTH",NA,NA,NA
"HEDI","Heniochus diphreutus","False moorish idol","OTH",NA,NA,NA
"HEPO","Hemitaurichthys polylepis","Pyramid butterflyfish","OTH",NA,NA,NA
"HESP","Heniochus sp.","Butterflyfish","OTH",NA,NA,NA
"HYQU","Hyporthodus quernus","Hapuupuu","DPS",3.065e-05,2.884,1
"HYQU","Hyporthodus quernus","Hapuupuu","DPS",3.065e-05,2.884,1
"HYQU","Hyporthodus quernus","Hapuupuu","DPS",3.065e-05,2.884,1
"INPA","Iniistius pavo","Peacock wrasse","OTH",NA,NA,NA
"JACK","Carangid sp.","Jack sp.","OTH",NA,NA,NA
"JACK","Carangoides sp.","Jack sp.","OTH",NA,NA,NA
"JACK","Carangid","Jack sp.","OTH",NA,NA,NA
"LIZA","Synodus sp.","Lizardfish","OTH",NA,NA,NA
"LIZA","Synodus sp.","Lizardfish","OTH",NA,NA,NA
"LUEA","Luzonichthys earlei","Earle's splitfin","OTB",NA,NA,NA
"LUFL","Lutjanus fulvus","Blacktail snapper","OTH",NA,NA,NA
"LUKA","Lutjanus kasmira","Bluestripe snapper","OTB",NA,NA,NA
"LUKA","Lutjanus kasmira","Bluestripe snapper","OTB",NA,NA,NA
"LUSP","Lutjanid sp.","Snapper sp.","OTB",NA,NA,NA
"LUSP","Lutjanid","Snapper sp.","OTB",NA,NA,NA
"LUZP","Luzonichthys sp.","Splitfin","OTB",NA,NA,NA
"MEVI","Melichthys vidua","Pinktail triggerfish","OTH",NA,NA,NA
"MORA","Muraenid sp.","Moray sp.","OTH",NA,NA,NA
"MUPF","Mulloidichthys pfluegeri","Orange goatfish","OTH",NA,NA,NA
"MUPF","Mulloidichthys pfluegeri","Orange goatfish","OTH",NA,NA,NA
"MUVA","Mulloidichthys vanicolensis","Yellowfin goatfish","OTH",NA,NA,NA
"MYSP","Myripristis sp.","Soldierfish sp.","OTH",NA,NA,NA
"MYSP","Myripristis sp.","Soldierfish sp.","OTH",NA,NA,NA
"MYSP","Myripristis sp.","Squirrelfish","OTH",NA,NA,NA
"NABR","Naso brevirostris","Spotted unicornfish","OTH",NA,NA,NA
"NAHE","Naso hexacanthus","Sleek unicornfish","OTH",NA,NA,NA
"NAMA","Naso maculatus","spotted unicornfish","OTH",NA,NA,NA
"NASP","Naso sp.","unicornfish sp.","OTH",NA,NA,NA
"NASP","Acanthuridae","unicornfish sp.","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","NONE","NONE","OTH",NA,NA,NA
"NONE","No Fish in Drop","No Fish in Drop",NA,NA,NA,NA
"NONE","No fish","No fish",NA,NA,NA,NA
"ODEL","Odontanthias elizabethae","Elizabeth's Anthias","OTH",NA,NA,NA
"ODFU","Odontanthias fuscipinnis","Hawaiian deep anthias","OTH",NA,NA,NA
"OXUN","Oxycheilinus unifasciatus","Ringtail wrasse","OTH",NA,NA,NA
"PAMU","Parupeneus multifasciatus","Manybar goatfish","OTH",NA,NA,NA
"PAPO","Parupeneus porphyreus","Whitesaddle goatfish","OTH",NA,NA,NA
"PERC","Perciformes","Fish","OTH",NA,NA,NA
"PLDA","Plesiobatis daviesi","Deep-water stingray","OTH",NA,NA,NA
"POBE","Polymixia berndti","Beardfish","OTH",NA,NA,NA
"POMA","Pontinus macrocephalus","Large-headed scorpionfish","OTH",NA,NA,NA
"PORC","Tetraodontinae sp.","Balloonfish","OTH",NA,NA,NA
"PORC","Tetraodontinae sp.","Balloonfish","OTH",NA,NA,NA
"PRAL","Priacanthus alalaua","Alalaua","OTH",NA,NA,NA
"PRFI","Pristipomoides filamentosus","Opakapaka","DPS",2.311e-05,2.928,0.3459
"PRFI","Pristipomoides filamentosus","Opakapaka","DPS",2.311e-05,2.928,0.3459
"PRFI","Pristipomoides filamentosus","Opakapaka","DPS",2.311e-05,2.928,0.3459
"PRSI","Pristipomoides sieboldii","Kalekale","DPS",2.243e-05,2.932,0.1364
