"mod","y"
540.269543904457,11.7
531.567926113419,11.8
523.071600610097,11.9
514.7742631345,12
506.669845502705,12.1
498.752505269927,12.2
491.01661590721,12.3
483.456757463447,12.4
476.067707686123,12.5
468.844433575769,12.6
461.782083350607,12.7
454.875978799242,12.8
448.121608000557,12.9
441.514618391218,13
435.050810162294,13.1
428.726129967615,13.2
422.536664927452,13.3
416.478636912093,13.4
410.548397090729,13.5
404.742420731923,13.6
399.057302242707,13.7
393.489750434076,13.8
388.036584001343,13.9
382.694727208465,14
377.461205766042,14.1
372.33314289329,14.2
367.307755554783,14.3
362.382350863307,14.4
357.554322640607,14.5
352.82114812828,14.6
348.180384841457,14.7
343.629667558354,14.8
339.166705439098,14.9
334.789279267617,15
330.495238810697,15.1
326.282500288631,15.2
322.14904395216,15.3
318.092911760709,15.4
314.11220515715,15.5
310.205082934605,15.6
306.369759191001,15.7
302.604501367326,15.8
298.907628365751,15.9
295.277508743944,16
291.712558982128,16.1
288.211241819581,16.2
284.772064657452,16.3
281.393578024918,16.4
278.074374105857,16.5
274.813085323361,16.6
271.608382979518,16.7
268.458975948051,16.8
265.363609417485,16.9
262.321063682667,17
259.330152982519,17.1
256.389724382057,17.2
253.49865669675,17.3
250.655859457448,17.4
247.860271914115,17.5
245.110862076764,17.6
242.406625792008,17.7
239.746585853735,17.8
237.129791146504,17.9
234.555315820284,18
232.022258495252,18.1
229.529741495422,18.2
227.076910109913,18.3
224.662931880735,18.4
222.286995916035,18.5
219.948312227746,18.6
217.646111092692,18.7
215.379642436192,18.8
213.148175237267,18.9
210.950996954617,19
208.787412972522,19.1
206.656746065906,19.2
204.558335883802,19.3
202.491538450518,19.4
200.455725683804,19.5
198.450284929375,19.6
196.474618511156,19.7
194.528143296661,19.8
192.610290276915,19.9
190.720504160376,20
188.858242980339,20.1
187.0229777153,20.2
185.214191921804,20.3
183.431381379315,20.4
181.674053746663,20.5
179.941728229635,20.6
178.233935259304,20.7
176.550216180713,20.8
174.89012295152,20.9
173.253217850256,21
171.639073193851,21.1
170.047271064079,21.2
168.477403042623,21.3
166.929069954441,21.4
165.401881619141,21.5
163.895456610079,21.6
162.409422020923,21.7
160.943413239398,21.8
159.497073727981,21.9
158.070054811294,22
156.662015469976,22.1
155.272622140785,22.2
153.901548522751,22.3
152.548475389143,22.4
151.21309040507,22.5
149.895087950516,22.6
148.594168948634,22.7
147.31004069911,22.8
146.042416716442,22.9
144.791016572956,23
143.555565746412,23.1
142.335795472041,23.2
141.131442598874,23.3
139.942249450215,23.4
138.767963688125,23.5
137.60833818179,23.6
136.463130879643,23.7
135.332104685115,23.8
134.21502733591,23.9
133.111671286679,24
132.021813594988,24.1
130.945235810483,24.2
129.881723867131,24.3
128.831067978469,24.4
127.793062535736,24.5
126.767506008816,24.6
125.754200849907,24.7
124.752953399809,24.8
123.76357379678,24.9
122.785875887855,25
121.819677142566,25.1
120.864798568989,25.2
119.921064632036,25.3
118.988303173942,25.4
118.06634533686,25.5
117.155025487515,25.6
116.254181143854,25.7
115.363652903619,25.8
114.483284374804,25.9
113.612922107927,26
112.752415530065,26.1
111.901616880607,26.2
111.060381148661,26.3
110.228566012089,26.4
109.40603177809,26.5
108.592641325318,26.6
107.788260047469,26.7
106.992755798308,26.8
106.20599883808,26.9
105.427861781279,27
104.658219545733,27.1
103.896949302957,27.2
103.143930429753,27.3
102.399044461013,27.4
101.66217504369,27.5
100.93320789191,27.6
100.212030743185,27.7
99.4985333157118,27.8
98.7926072666992,27.9
98.0941461517252,28
97.4030453850755,28.1
96.719202201043,28.2
96.0425156161626,28.3
95.3728863923537,28.4
94.7102170009465,28.5
94.0544115875675,28.6
93.4053759378625,28.7
92.7630174440318,28.8
92.1272450721579,28.9
91.4979693303033,29
90.8751022373585,29.1
90.2585572926195,29.2
89.6482494460756,29.3
89.044095069389,29.4
88.4460119275472,29.5
87.8539191511716,29.6
