"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2020,"BFISH_2020_F",14442,"S15",180.1368,"PRFI",0,0
2019,"BFISH_2019_F",37076,"S07",113.65992,"PRFI",0,0
2020,"BFISH_2020_F",4321,"S21",255.1176,"PRFI",0,0
2020,"BFISH_2020_F",33850,"S09",146.72,"PRFI",0,0
2021,"BFISH_2021_F",15604,"S10",149,"PRFI",2,0
2019,"BFISH_2019_F",1230,"S02",107.2134,"PRFI",11.5640358485111,0
2019,"BFISH_2019_F",14736,"S07",112.9284,"PRFI",0,0
2020,"BFISH_2020_F",32156,"S22",253.746,"PRFI",0,0
2020,"BFISH_2020_F",40302,"S14",178.308,"PRFI",0,0
2021,"BFISH_2021_F",32753,"S15",207.1116,"PRFI",0,0
2021,"BFISH_2021_F",36070,"S02",103.25,"PRFI",0,0
2021,"BFISH_2021_F",44510,"S14",215.1888,"PRFI",0,0
2021,"BFISH_2021_F",39066,"S10",143.5608,"PRFI",5.78201792425556,0
2019,"BFISH_2019_F",26562,"S17",259.2324,"PRFI",0,0
2021,"BFISH_2021_F",37387,"S11",139.55,"PRFI",0,0
2019,"BFISH_2019_F",15777,"S15",188.3664,"PRFI",0,0
2021,"BFISH_2021_F",9426,"S09",156.6672,"PRFI",17.3460537727667,0
2021,"BFISH_2021_F",33100,"S15",198.882,"PRFI",0,0
2021,"BFISH_2021_F",15824,"S10",134.65,"PRFI",9.5,0
2021,"BFISH_2021_F",15038,"S20",237.744,"PRFI",0,0
2020,"BFISH_2020_F",12805,"S02",107.8992,"PRFI",0,0
2019,"BFISH_2019_F",17007,"S05",112.505,"PRFI",0.5,0
2020,"BFISH_2020_F",9032,"S13",170.9928,"PRFI",0,0
2021,"BFISH_2021_F",11875,"S22",239.5728,"PRFI",0,0
2020,"BFISH_2020_F",15226,"S02",95.5548,"PRFI",0,0
2019,"BFISH_2019_F",8163,"S10",124.16,"PRFI",2.5,0
2019,"BFISH_2019_F",21092,"S07",158.1912,"PRFI",0,0
2019,"BFISH_2019_F",17407,"S02",101.9556,"PRFI",0,0
2021,"BFISH_2021_F",32271,"S06",135.3312,"PRFI",0,0
2019,"BFISH_2019_F",15034,"S22",224.0675,"PRFI",0,0
2021,"BFISH_2021_F",32249,"S20",236.8296,"PRFI",0,0
2019,"BFISH_2019_F",24947,"S16",213.7225,"PRFI",0,0
2021,"BFISH_2021_F",34011,"S06",146.85,"PRFI",1.5,0
2019,"BFISH_2019_F",45453,"S13",178.095,"PRFI",0,0
2020,"BFISH_2020_F",1249,"S10",150.4188,"PRFI",11.5640358485111,0
2020,"BFISH_2020_F",16190,"S07",125.2728,"PRFI",0,0
2019,"BFISH_2019_F",11479,"S20",224.4852,"PRFI",0,0
2020,"BFISH_2020_F",15969,"S02",105.156,"PRFI",0,0
2020,"BFISH_2020_F",30747,"S05",131.9075,"PRFI",0,0
2019,"BFISH_2019_F",35943,"S10",112.94,"PRFI",0,0
2019,"BFISH_2019_F",43470,"S01",88.1725,"PRFI",0,0
2021,"BFISH_2021_F",8978,"S14",182.88,"PRFI",8.67302688638334,0
2021,"BFISH_2021_F",843,"S12",147.9042,"PRFI",0,0
2019,"BFISH_2019_F",7254,"S13",218.7702,"PRFI",0,0
2021,"BFISH_2021_F",27608,"S10",154.2,"PRFI",0,0
2020,"BFISH_2020_F",13223,"S10",143.1036,"PRFI",0,0
2020,"BFISH_2020_F",41449,"S10",136.8552,"PRFI",0,0
2019,"BFISH_2019_F",38335,"S13",216.535,"PRFI",0,0
2019,"BFISH_2019_F",23729,"S20",236.8296,"PRFI",0,0
2021,"BFISH_2021_F",29022,"S06",164.592,"PRFI",0,0
2020,"BFISH_2020_F",1335,"S10",169.164,"PRFI",11.5640358485111,0
2021,"BFISH_2021_F",34812,"S13",202.9968,"PRFI",0,0
2020,"BFISH_2020_F",43457,"S10",133.2738,"PRFI",0,0
2019,"BFISH_2019_F",11919,"S14",207.5688,"PRFI",0,0
2021,"BFISH_2021_F",23279,"S20",257.2512,"PRFI",0,0
2019,"BFISH_2019_F",33118,"S15",188.315,"PRFI",0,0
2019,"BFISH_2019_F",3671,"S06",124.8156,"PRFI",0,0
2021,"BFISH_2021_F",1122,"S12",169.8498,"PRFI",0,0
2019,"BFISH_2019_F",19114,"S20",255.5748,"PRFI",0,0
2020,"BFISH_2020_F",14333,"S10",153.162,"PRFI",0,0
2021,"BFISH_2021_F",9658,"S07",153.162,"PRFI",0,0
2020,"BFISH_2020_F",34645,"S06",111.22,"PRFI",0,0
2020,"BFISH_2020_F",7477,"S20",235.9152,"PRFI",0,0
2020,"BFISH_2020_F",40029,"S09",130.87,"PRFI",0.625,0
2021,"BFISH_2021_F",21803,"S14",170.0784,"PRFI",0,0
2020,"BFISH_2020_F",33838,"S04",84.22,"PRFI",0,0
2021,"BFISH_2021_F",37233,"S10",125.51664,"PRFI",0,0
2019,"BFISH_2019_F",26043,"S01",85.85,"PRFI",0,0
2021,"BFISH_2021_F",2295,"S14",182.4228,"PRFI",0,0
2021,"BFISH_2021_F",13740,"S07",147.933333333333,"PRFI",0,0
2021,"BFISH_2021_F",12065,"S11",135.0264,"PRFI",26.01908065915,0
2021,"BFISH_2021_F",16222,"S03",88.2396,"PRFI",0,0
2021,"BFISH_2021_F",3632,"S11",138.9888,"PRFI",0,0
2019,"BFISH_2019_F",26161,"S17",228.285,"PRFI",0,0
2019,"BFISH_2019_F",9675,"S22",233.1475,"PRFI",1.5,0
2019,"BFISH_2019_F",7657,"S10",164.8968,"PRFI",0,0
2020,"BFISH_2020_F",38420,"S15",200.7108,"PRFI",0,0
2021,"BFISH_2021_F",33437,"S01",108.75,"PRFI",3.5,0
2019,"BFISH_2019_F",19917,"S07",162.7632,"PRFI",0,0
2019,"BFISH_2019_F",3899,"S01",92.6575,"PRFI",0,0
2021,"BFISH_2021_F",27997,"S05",123.444,"PRFI",0,0
2020,"BFISH_2020_F",8088,"S10",129.8448,"PRFI",0,0
2021,"BFISH_2021_F",25485,"S14",174.9,"PRFI",8,0
2021,"BFISH_2021_F",650,"S04",92.3544,"PRFI",0,0
2021,"BFISH_2021_F",28005,"S05",166.4208,"PRFI",0,0
2020,"BFISH_2020_F",8795,"S02",103.632,"PRFI",0,0
2019,"BFISH_2019_F",43934,"S09",159.1056,"PRFI",0,0
2020,"BFISH_2020_F",45246,"S01",84.1248,"PRFI",0,0
2019,"BFISH_2019_F",43039,"S09",149.9616,"PRFI",0,0
2019,"BFISH_2019_F",20391,"S07",121.0056,"PRFI",0,0
2020,"BFISH_2020_F",45281,"S01",87.1728,"PRFI",0,0
2020,"BFISH_2020_F",8508,"S10",117.9576,"PRFI",0,0
2021,"BFISH_2021_F",18683,"S07",142.1892,"PRFI",0,0
2019,"BFISH_2019_F",11276,"S17",254.2032,"PRFI",0,0
2021,"BFISH_2021_F",20463,"S21",238.2012,"PRFI",0,0
2019,"BFISH_2019_F",44021,"S01",84.7344,"PRFI",0,0
2021,"BFISH_2021_F",19117,"S07",122.0724,"PRFI",5.78201792425556,0
