"mod","y"
67.1658429968005,42.9
66.8568296146387,43
66.5499369883794,43.1
66.2451458190449,43.2
65.9424370259668,43.3
65.6417917438385,43.4
65.3431913198155,43.5
65.0466173106588,43.6
64.7520514799251,43.7
64.459475795199,43.8
64.168872425369,43.9
63.8802237379457,44
63.5935122964209,44.1
63.308720857668,44.2
63.0258323693825,44.3
62.7448299675611,44.4
62.46569697402,44.5
62.1884168939511,44.6
61.9129734135155,44.7
61.6393503974733,44.8
61.3675318868499,44.9
61.0975020966375,45
60.8292454135312,45.1
60.5627463936997,45.2
60.2979897605888,45.3
60.0349604027592,45.4
59.7736433717557,45.5
59.5140238800083,45.6
59.2560872987656,45.7
58.9998191560579,45.8
58.7452051346916,45.9
58.4922310702723,46
58.2408829492584,46.1
57.9911469070428,46.2
57.7430092260626,46.3
57.4964563339374,46.4
57.2514748016348,46.5
57.0080513416622,46.6
56.7661728062856,46.7
56.5258261857746,46.8
56.2869986066726,46.9
56.0496773300921,47
55.813849750035,47.1
55.5795033917374,47.2
55.3466259100378,47.3
55.1152050877694,47.4
54.8852288341753,47.5
54.6566851833462,47.6
54.4295622926814,47.7
54.2038484413706,47.8
53.9795320288986,47.9
53.7566015735705,48
53.5350457110579,48.1
53.3148531929667,48.2
53.0960128854239,48.3
52.8785137676853,48.4
52.6623449307624,48.5
52.447495576069,48.6
52.2339550140865,48.7
52.0217126630481,48.8
51.8107580476416,48.9
51.60108079773,49
51.3926706470899,49.1
51.1855174321681,49.2
50.979611090855,49.3
50.7749416612748,49.4
50.5714992805929,49.5
50.3692741838396,49.6
50.1682567027501,49.7
49.9684372646205,49.8
49.7698063911792,49.9
49.572354697474,50
49.3760728907748,50.1
49.1809517694905,50.2
48.9869822221013,50.3
48.7941552261055,50.4
48.6024618469801,50.5
48.411893237156,50.6
48.2224406350071,50.7
48.0340953638524,50.8
47.8468488309724,50.9
47.6606925266381,51
47.4756180231536,51.1
47.2916169739107,51.2
47.1086811124572,51.3
46.9268022515767,51.4
46.7459722823814,51.5
46.5661831734165,51.6
46.3874269697765,51.7
46.2096957922335,51.8
46.0329818363772,51.9
45.8572773717651,52
45.6825747410857,52.1
45.5088663593313,52.2
45.3361447129818,52.3
45.1644023592004,52.4
44.9936319250381,52.5
44.8238261066499,52.6
44.6549776685205,52.7
44.4870794427008,52.8
44.3201243280531,52.9
44.1541052895075,53
43.9890153573272,53.1
43.8248476263829,53.2
43.6615952554374,53.3
43.4992514664391,53.4
43.3378095438241,53.5
43.1772628338281,53.6
43.0176047438064,53.7
42.8588287415628,53.8
42.7009283546876,53.9
42.5438971699028,54
42.3877288324171,54.1
42.2324170452877,54.2
42.0779555687915,54.3
41.924338219803,54.4
41.7715588711812,54.5
41.6196114511632,54.6
41.4684899427661,54.7
41.3181883831963,54.8
41.1687008632659,54.9
41.0200215268169,55
40.872144570152,55.1
40.7250642414729,55.2
40.5787748403257,55.3
40.4332707170527,55.4
40.2885462722515,55.5
40.1445959562403,55.6
40.0014142685304,55.7
39.8589957573049,55.8
39.7173350189035,55.9
39.5764266973141,56
39.4362654836707,56.1
39.296846115757,56.2
39.1581633775164,56.3
39.020212098568,56.4
38.882987153728,56.5
38.746483462538,56.6
38.6106959887978,56.7
38.4756197401045,56.8
38.3412497673974,56.9
38.2075811645077,57
38.0746090677145,57.1
37.9423286553053,57.2
37.8107351471421,57.3
37.6798238042332,57.4
37.5495899283096,57.5
37.4200288614061,57.6
37.2911359854485,57.7
37.1629067218447,57.8
37.0353365310814,57.9
36.908420912325,58
36.7821554030275,58.1
36.6565355785371,58.2
36.5315570517137,58.3
36.4072154725481,58.4
36.2835065277865,58.5
36.1604259405591,58.6
36.037969470013,58.7
35.9161329109494,58.8
35.7949120934655,58.9
35.6743028825999,59
35.5543011779823,59.1
35.434902913488,59.2
35.3161040568954,59.3
35.1979006095481,59.4
35.0802886060206,59.5
34.9632641137883,59.6
34.8468232329007,59.7
34.7309620956592,59.8
34.6156768662975,59.9
34.5009637406668,60
34.3868189459237,60.1
34.2732387402226,60.2
34.1602194124104,60.3
34.0477572817262,60.4
33.9358486975029,60.5
33.8244900388733,60.6
33.7136777144793,60.7
33.6034081621838,60.8
33.4936778487866,60.9
33.3844832697433,61
33.2758209488872,61.1
33.1676874381546,61.2
33.0600793173126,61.3
32.9529931936912,61.4
32.8464257019169,61.5
32.7403735036501,61.6
32.634833287326,61.7
32.5298017678967,61.8
32.4252756865781,61.9
32.3212518105985,62
32.2177269329496,62.1
32.1146978721419,62.2
32.0121614719612,62.3
31.9101146012285,62.4
31.8085541535623,62.5
31.7074770471443,62.6
31.6068802244861,62.7
31.5067606522003,62.8
31.4071153207727,62.9
31.3079412443379,63
31.2092354604566,63.1
31.1109950298961,63.2
31.0132170364126,63.3
30.9158985865363,63.4
30.8190368093583,63.5
30.7226288563205,63.6
30.6266719010073,63.7
30.5311631389396,63.8
30.4360997873713,63.9
30.3414790850877,64
30.2472982922061,64.1
30.1535546899788,64.2
30.0602455805982,64.3
29.9673682870032,64.4
29.8749201526892,64.5
29.7828985415186,64.6
29.6913008375341,64.7
29.6001244447741,64.8
29.5093667870898,64.9
29.419025307964,65
29.3290974703324,65.1
29.2395807564062,65.2
29.1504726674974,65.3
29.0617707238448,65.4
28.9734724644429,65.5
28.8855754468721,65.6
28.7980772471306,65.7
28.7109754594684,65.8
28.6242676962225,65.9
28.537951587655,66
28.4520247817911,66.1
28.3664849442605,66.2
28.2813297581393,66.3
28.1965569237944,66.4
28.1121641587286,66.5
28.0281491974283,66.6
27.9445097912119,66.7
27.8612437080805,66.8
27.7783487325693,66.9
27.6958226656018,67
27.613663324344,67.1
27.5318685420612,67.2
27.450436167976,67.3
27.3693640671273,67.4
27.2886501202317,67.5
27.2082922235451,67.6
27.1282882887268,67.7
27.0486362427043,67.8
26.9693340275399,67.9
26.8903796002984,68
26.8117709329161,68.1
26.7335060120714,68.2
26.6555828390566,68.3
26.5779994296508,68.4
26.5007538139943,68.5
26.4238440364643,68.6
26.3472681555518,68.7
26.2710242437394,68.8
26.1951103873809,68.9
26.1195246865818,69
26.044265255081,69.1
25.9693302201338,69.2
25.8947177223958,69.3
25.8204259158083,69.4
25.7464529674848,69.5
25.6727970575981,69.6
25.5994563792694,69.7
25.526429138458,69.8
25.4537135538516,69.9
25.3813078567589,70
25.3092102910023,70.1
25.2374191128117,70.2
25.16593259072,70.3
25.094749005459,70.4
25.0238666498565,70.5
24.9532838287347,70.6
24.8829988588088,70.7
24.8130100685878,70.8
24.7433157982751,70.9
24.6739143996709,71
24.6048042360749,71.1
24.5359836821907,71.2
24.4674511240302,71.3
24.3992049588198,71.4
24.331243594907,71.5
24.2635654516681,71.6
24.1961689594167,71.7
24.1290525593128,71.8
24.0622147032739,71.9
23.9956538538852,72
23.9293684843123,72.1
23.8633570782137,72.2
23.7976181296546,72.3
23.7321501430213,72.4
